iso2,date_ymd,perturb,delta_nfsi
AA,2026-01-01,SEC_CONFLICT_plus10,0.07
AA,2026-01-02,SEC_CONFLICT_plus10,0.05
AA,2026-01-03,SEC_CONFLICT_plus10,0.0
BB,2026-01-01,SEC_CONFLICT_plus10,0.07
BB,2026-01-02,SEC_CONFLICT_plus10,0.06
BB,2026-01-03,SEC_CONFLICT_plus10,0.04
CC,2026-01-01,SEC_CONFLICT_plus10,0.0
CC,2026-01-02,SEC_CONFLICT_plus10,0.0
CC,2026-01-03,SEC_CONFLICT_plus10,0.0
DD,2026-01-01,SEC_CONFLICT_plus10,0.06
DD,2026-01-02,SEC_CONFLICT_plus10,0.06
DD,2026-01-03,SEC_CONFLICT_plus10,0.06
EE,2026-01-01,SEC_CONFLICT_plus10,0.04
EE,2026-01-02,SEC_CONFLICT_plus10,0.02
EE,2026-01-03,SEC_CONFLICT_plus10,0.0
FF,2026-01-01,SEC_CONFLICT_plus10,0.06
FF,2026-01-02,SEC_CONFLICT_plus10,0.06
FF,2026-01-03,SEC_CONFLICT_plus10,0.06
GG,2026-01-01,SEC_CONFLICT_plus10,0.0
GG,2026-01-02,SEC_CONFLICT_plus10,0.0
GG,2026-01-03,SEC_CONFLICT_plus10,0.0
HH,2026-01-01,SEC_CONFLICT_plus10,0.05
HH,2026-01-02,SEC_CONFLICT_plus10,0.05
HH,2026-01-03,SEC_CONFLICT_plus10,0.03
II,2026-01-01,SEC_CONFLICT_plus10,0.07
II,2026-01-02,SEC_CONFLICT_plus10,0.06
II,2026-01-03,SEC_CONFLICT_plus10,0.06
JJ,2026-01-01,SEC_CONFLICT_plus10,0.05
JJ,2026-01-02,SEC_CONFLICT_plus10,0.04
JJ,2026-01-03,SEC_CONFLICT_plus10,0.0
AA,2026-01-01,GOV_WGI_plus10,0.0
AA,2026-01-02,GOV_WGI_plus10,0.0
AA,2026-01-03,GOV_WGI_plus10,0.0
BB,2026-01-01,GOV_WGI_plus10,0.0
BB,2026-01-02,GOV_WGI_plus10,-0.01
BB,2026-01-03,GOV_WGI_plus10,-0.01
CC,2026-01-01,GOV_WGI_plus10,0.0
CC,2026-01-02,GOV_WGI_plus10,0.0
CC,2026-01-03,GOV_WGI_plus10,0.0
DD,2026-01-01,GOV_WGI_plus10,-0.01
DD,2026-01-02,GOV_WGI_plus10,-0.01
DD,2026-01-03,GOV_WGI_plus10,-0.01
EE,2026-01-01,GOV_WGI_plus10,0.0
EE,2026-01-02,GOV_WGI_plus10,-0.01
EE,2026-01-03,GOV_WGI_plus10,-0.01
FF,2026-01-01,GOV_WGI_plus10,-0.01
FF,2026-01-02,GOV_WGI_plus10,-0.01
FF,2026-01-03,GOV_WGI_plus10,-0.01
GG,2026-01-01,GOV_WGI_plus10,0.0
GG,2026-01-02,GOV_WGI_plus10,0.0
GG,2026-01-03,GOV_WGI_plus10,0.0
HH,2026-01-01,GOV_WGI_plus10,-0.01
HH,2026-01-02,GOV_WGI_plus10,0.0
HH,2026-01-03,GOV_WGI_plus10,-0.01
II,2026-01-01,GOV_WGI_plus10,0.0
II,2026-01-02,GOV_WGI_plus10,0.0
II,2026-01-03,GOV_WGI_plus10,-0.01
JJ,2026-01-01,GOV_WGI_plus10,0.0
JJ,2026-01-02,GOV_WGI_plus10,-0.01
JJ,2026-01-03,GOV_WGI_plus10,0.0
AA,2026-01-01,ECO_INFL_plus10,0.0
AA,2026-01-02,ECO_INFL_plus10,0.01
AA,2026-01-03,ECO_INFL_plus10,0.0
BB,2026-01-01,ECO_INFL_plus10,0.0
BB,2026-01-02,ECO_INFL_plus10,-0.01
BB,2026-01-03,ECO_INFL_plus10,-0.01
CC,2026-01-01,ECO_INFL_plus10,0.0
