run_id,param_key,param_base,param_value,perturbation,note,metric_country_score_dist_p50,metric_country_score_dist_p05,metric_country_score_dist_p95,metric_crash_mode_rate,metric_topk_delta_overlap,metric_topk_delta_mean_abs,artifact_path_run_log
LAYER2_TODAY_WEIGHT__minus10,LAYER2_TODAY_WEIGHT,0.6,0.54,minus10,L2 smoothing: today weight (yesterday = 1-today).,,,,,,,
LAYER2_TODAY_WEIGHT__plus10,LAYER2_TODAY_WEIGHT,0.6,0.66,plus10,L2 smoothing: today weight (yesterday = 1-today).,,,,,,,
LAYER2_TODAY_WEIGHT__minus25,LAYER2_TODAY_WEIGHT,0.6,0.45,minus25,L2 smoothing: today weight (yesterday = 1-today).,,,,,,,
LAYER2_TODAY_WEIGHT__plus25,LAYER2_TODAY_WEIGHT,0.6,0.75,plus25,L2 smoothing: today weight (yesterday = 1-today).,,,,,,,
LAYER2_TODAY_WEIGHT__ext_low,LAYER2_TODAY_WEIGHT,0.6,0.3,ext_low,L2 smoothing: today weight (yesterday = 1-today).,,,,,,,
LAYER2_TODAY_WEIGHT__ext_high,LAYER2_TODAY_WEIGHT,0.6,0.9,ext_high,L2 smoothing: today weight (yesterday = 1-today).,,,,,,,
LAYER3_CONFLICT_MALUS_FACTOR__minus10,LAYER3_CONFLICT_MALUS_FACTOR,1,0.9,minus10,Conflict malus linear factor.,,,,,,,
LAYER3_CONFLICT_MALUS_FACTOR__plus10,LAYER3_CONFLICT_MALUS_FACTOR,1,1.1,plus10,Conflict malus linear factor.,,,,,,,
LAYER3_CONFLICT_MALUS_FACTOR__minus25,LAYER3_CONFLICT_MALUS_FACTOR,1,0.75,minus25,Conflict malus linear factor.,,,,,,,
LAYER3_CONFLICT_MALUS_FACTOR__plus25,LAYER3_CONFLICT_MALUS_FACTOR,1,1.25,plus25,Conflict malus linear factor.,,,,,,,
LAYER3_CONFLICT_MALUS_FACTOR__ext_low,LAYER3_CONFLICT_MALUS_FACTOR,1,0.5,ext_low,Conflict malus linear factor.,,,,,,,
LAYER3_CONFLICT_MALUS_FACTOR__ext_high,LAYER3_CONFLICT_MALUS_FACTOR,1,1.5,ext_high,Conflict malus linear factor.,,,,,,,
LAYER4_INERTIA_STANDARD__minus10,LAYER4_INERTIA_STANDARD,0.8,0.72,minus10,L4 inertia weight on prevScore in normal mode.,,,,,,,
LAYER4_INERTIA_STANDARD__plus10,LAYER4_INERTIA_STANDARD,0.8,0.88,plus10,L4 inertia weight on prevScore in normal mode.,,,,,,,
LAYER4_INERTIA_STANDARD__minus25,LAYER4_INERTIA_STANDARD,0.8,0.6,minus25,L4 inertia weight on prevScore in normal mode.,,,,,,,
LAYER4_INERTIA_STANDARD__plus25,LAYER4_INERTIA_STANDARD,0.8,1,plus25,L4 inertia weight on prevScore in normal mode.,,,,,,,
LAYER4_INERTIA_STANDARD__ext_low,LAYER4_INERTIA_STANDARD,0.8,0.4,ext_low,L4 inertia weight on prevScore in normal mode.,,,,,,,
LAYER4_INERTIA_STANDARD__ext_high,LAYER4_INERTIA_STANDARD,0.8,1,ext_high,L4 inertia weight on prevScore in normal mode.,,,,,,,
LAYER4_DAILY_CHANGE_CAP__minus10,LAYER4_DAILY_CHANGE_CAP,3,2.7,minus10,L4 absolute daily delta cap in points (±cap).,,,,,,,
LAYER4_DAILY_CHANGE_CAP__plus10,LAYER4_DAILY_CHANGE_CAP,3,3.3,plus10,L4 absolute daily delta cap in points (±cap).,,,,,,,
LAYER4_DAILY_CHANGE_CAP__minus25,LAYER4_DAILY_CHANGE_CAP,3,2.25,minus25,L4 absolute daily delta cap in points (±cap).,,,,,,,
LAYER4_DAILY_CHANGE_CAP__plus25,LAYER4_DAILY_CHANGE_CAP,3,3.75,plus25,L4 absolute daily delta cap in points (±cap).,,,,,,,
LAYER4_DAILY_CHANGE_CAP__ext_low,LAYER4_DAILY_CHANGE_CAP,3,1.5,ext_low,L4 absolute daily delta cap in points (±cap).,,,,,,,
LAYER4_DAILY_CHANGE_CAP__ext_high,LAYER4_DAILY_CHANGE_CAP,3,4.5,ext_high,L4 absolute daily delta cap in points (±cap).,,,,,,,
