connector_id,source_url,data_version,last_snapshot_date,license_text_snippet,derivative_reuse,contact,weight,group,higher_raw_is_worse,update_mult,raw_fields
AcledMonthAll,/legal/sources/,live,live,"ACLED / filtered, aggregated for Naciro Intelligence",Derived aggregates; redistribution depends on upstream terms,data@nationfiles.com,90,10,1,1.0,see /legal/sources/
AcledMonthAllOverview,/legal/sources/,live,live,"ACLED / filtered, aggregated for Naciro Intelligence",Derived aggregates; redistribution depends on upstream terms,data@nationfiles.com,95,10,1,1.0,see /legal/sources/
CountriesConflictUcdpGed,https://ucdp.uu.se/,live,live,"Free for academic, commercial, governmental use (see UCDP)",Derived indicators; verify attribution/terms,data@nationfiles.com,85,100,1,3.65,see /legal/sources/
CountriesCurrencyFromFa,/legal/sources/,live,live,Internal,Not for public redistribution unless explicitly licensed,data@nationfiles.com,65,60,1,3.65,see /legal/sources/
CountriesGdeltGlobRadar,https://www.gdeltproject.org/,live,live,GDELT Terms of Use (see provider),Derived indicators; verify redistribution with provider,data@nationfiles.com,85,100,0,7.30,see /legal/sources/
CountriesNetAbuseIpDb,/legal/sources/,live,live,AbuseIPDB Terms of Use,Derived indicators; redistribution depends on ToS,data@nationfiles.com,70,85,1,3.65,see /legal/sources/
CountriesNetGrpTrfcAnom,/legal/sources/,live,live,Cloudflare Terms of Use,Derived indicators; redistribution depends on ToS,data@nationfiles.com,55,50,1,7.30,see /legal/sources/
CountriesNetSpmBot,/legal/sources/,live,live,Spamhaus Terms & Conditions,Derived indicators; redistribution depends on terms,data@nationfiles.com,70,85,1,3.65,see /legal/sources/
CountriesNetTrfcAnom,/legal/sources/,live,live,Cloudflare Terms of Use,Derived indicators; redistribution depends on ToS,data@nationfiles.com,70,50,1,7.30,see /legal/sources/
CountriesPopPrisn100K,/legal/sources/,live,live,CC BY / Our World in Data,Derived indicators typically reusable with attribution,data@nationfiles.com,50,85,1,1.0,see /legal/sources/
CountriesVatRatesApiVer,/legal/sources/,live,live,APIVerve Terms of Service,Derived indicators; redistribution depends on ToS,data@nationfiles.com,60,60,1,1.12,see /legal/sources/
CountriesVatRatesVatLup,/legal/sources/,live,live,Refer to source (EC data),Derived indicators; verify attribution/terms,data@nationfiles.com,60,60,1,1.0,see /legal/sources/
CountriesWb65Up,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,10,40,1,1.0,see /legal/sources/
CountriesWbAccsZs,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,60,40,0,1.0,see /legal/sources/
CountriesWbCcEst,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,85,100,0,1.0,see /legal/sources/
CountriesWbCdrtIn,/legal/sources/,live,live,"CC BY 4.0 / filtered, aggregated",Derived indicators reusable with attribution,data@nationfiles.com,30,40,1,1.0,see /legal/sources/
