iso2,date_ymd,connector_id,raw_value,delta
AA,2026-01-01,SEC_CONFLICT,12,1
AA,2026-01-01,ECO_INFL,4.2,1
AA,2026-01-01,NET_OUTAGE,3,1
AA,2026-01-01,SOC_SENT,0.10,1
AA,2026-01-02,SEC_CONFLICT,40,1
AA,2026-01-02,ECO_INFL,6.0,1
AA,2026-01-02,NET_OUTAGE,8,1
AA,2026-01-02,SOC_SENT,-0.20,1
AA,2026-01-03,SEC_CONFLICT,80,1
AA,2026-01-03,ECO_INFL,10.0,1
AA,2026-01-03,NET_OUTAGE,12,1
AA,2026-01-03,SOC_SENT,-0.60,1

BB,2026-01-01,SEC_CONFLICT,8,1
BB,2026-01-01,ECO_INFL,3.1,1
BB,2026-01-01,NET_OUTAGE,1,1
BB,2026-01-01,SOC_SENT,0.30,1
BB,2026-01-02,SEC_CONFLICT,15,1
BB,2026-01-02,ECO_INFL,3.4,1
BB,2026-01-02,NET_OUTAGE,2,1
BB,2026-01-02,SOC_SENT,0.20,1
BB,2026-01-03,SEC_CONFLICT,22,1
BB,2026-01-03,ECO_INFL,3.8,1
BB,2026-01-03,NET_OUTAGE,4,1
BB,2026-01-03,SOC_SENT,0.05,1

CC,2026-01-01,SEC_CONFLICT,55,1
CC,2026-01-01,ECO_INFL,9.0,1
CC,2026-01-01,NET_OUTAGE,10,1
CC,2026-01-01,SOC_SENT,-0.40,1
CC,2026-01-02,SEC_CONFLICT,58,1
CC,2026-01-02,ECO_INFL,8.6,1
CC,2026-01-02,NET_OUTAGE,9,1
CC,2026-01-02,SOC_SENT,-0.35,1
CC,2026-01-03,SEC_CONFLICT,60,1
CC,2026-01-03,ECO_INFL,8.8,1
CC,2026-01-03,NET_OUTAGE,11,1
CC,2026-01-03,SOC_SENT,-0.45,1

DD,2026-01-01,SEC_CONFLICT,5,1
DD,2026-01-01,ECO_INFL,2.0,1
DD,2026-01-01,NET_OUTAGE,0,1
DD,2026-01-01,SOC_SENT,0.40,1
DD,2026-01-02,SEC_CONFLICT,6,1
DD,2026-01-02,ECO_INFL,2.2,1
